,col1
0,
1,The father of archaeological excavation was William Cunnington (1754-1810)
2,Kareng Ghar is a seven-storied royal palace built by Rajeswar Singha of the Ahom dynasty
3,"These are approaches to history; not listed are histories of other fields, such as history of science, history of mathematics and history of philosophy"
4,"Despite the development over recent decades of the ability through radiocarbon dating and other scientific methods to give actual dates for many sites or artefacts, these long-established schemes seem likely to remain in use"
5,"Thus World History tends to study networks, connections, and systems that cross traditional boundaries of historical study like linguistic, cultural, and national borders"
6,"Under Chandragupta Maurya and his successors, internal and external trade, agriculture, and economic activities all thrived and expanded across India thanks to the creation of a single efficient system of finance, administration, and security"
7,"Charles Canning, the Governor-General of India during the rebellion"
8,"The Western Chalukya Empire ruled most of the western Deccan, South India, between the 10th and 12th centuries"
9,"A Turco-Mongol conqueror in Central Asia, Timur (Tamerlane), attacked the reigning Sultan Nasir-u Din Mehmud of the Tughlaq Dynasty in the north Indian city of Delhi"
10,"Kailasa temple, is one of the largest rock-cut ancient Hindu temples located in Ellora"
11,"In the aftermath, all power was transferred from the British East India Company to the British Crown, which began to administer most of India as a number of provinces"
12,A major intellectual battle took place in Britain in the early twentieth century regarding the place of history teaching in the universities
13,"Much thorough and productive research has indeed been conducted in dramatic locales such as CopÃ¡n and the Valley of the Kings, but the bulk of activities and finds of modern archaeology are not so sensational"
14,"Environmental history is a new field that emerged in the 1980s to look at the history of the environment, especially in the long run, and the impact of human activities upon it"
15,"The archaeological project then continues (or alternatively, begins) with a field survey"
16,"RashÄ«d al-DÄ«n Fadhl-allÄh HamadÄnÄ« (1247-1318), was a Persian physician of Jewish origin, polymathic writer and historian, who wrote an enormous Islamic history, the Jami al-Tawarikh, in the Persian language, often considered a landmark in intercultural historiography and a key document on the Ilkhanids (13th and 14th century)"
17,Pushyamitra Shunga ruled for 36 years and was succeeded by his son Agnimitra
18,The Chola Empire emerged as a major power during the reign of Raja Raja Chola I and Rajendra Chola I who successfully invaded parts of Southeast Asia and Sri Lanka in the 11th century
19,"General Claude Auchinleck (right), Commander-in-Chief of the Indian Army, with the then Viceroy Wavell (centre) and General Montgomery (left)
"
20,"World History attempts to recognise and address two structures that have profoundly shaped professional history-writing:
"
21,This period corresponds in an archaeological context to the Northern Black Polished Ware culture
