0,"
"
1,"
"
2,"The Code of Civil Procedure, 1908 is a procedural law related to the administration of civil proceedings in India"
3,"The Code is divided into two parts: the first part contains 158 sections and the second part contains the First Schedule, which has 51 Orders and Rules"
4,"To give uniformity to Civil Procedure, Legislative Council of India, enacted Code of Civil Procedure, 1858, which received the assent of Governor-General on 23 March 1859"
5,The Code of Civil Procedure has been substantially amended in the year 2002
6,"keeping in view the establishment of Commercial Court and the provisions thereof, CPC (Amendment)Act, 2016 has been enacted to amend certain provisions of the CPC"
7,"The Code of Civil Procedure, 1908 was further amended in the year 2018
"
8,"
"
9,The Indian Penal Code (IPC) is the official criminal code of India
10,"After the partition of the British Indian Empire, the Indian Penal Code was inherited by its successor states, the Dominion of India and the Dominion of Pakistan, where it continues independently as the Pakistan Penal Code"
11,"The draft of the Indian Penal Code was prepared by the First Law Commission, chaired by Thomas Babington Macaulay in 1834 and was submitted to Governor-General of India Council in 1835"
12,The objective of this Act is to provide a general penal code for India
13,"The Indian Penal Code of 1860, sub-divided into 23 chapters, comprises 511 sections"
14,"of the Right of Private Defence (Sections 96 to 106)
"
15,Various sections of the Indian Penal Code are controversial
16,"Whoever, voluntarily has carnal intercourse against the order of nature with any man, woman or animal, shall be punished with imprisonment of life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine"
17,Explanation - Penetration is sufficient to constitute the carnal intercourse necessary to  the offence described in this section
18,The Section 309 of the Indian Penal Code deals with an unsuccessful attempt to suicide
19,"In an August 2015 ruling, the Rajasthan High Court made the Jain practice of undertaking voluntary death by fasting at the end of a person's life, known as Santhara, punishable under sections 306 and 309 of the IPC"
20,"The Section 497 of the Indian Penal Code has been criticised on the one hand for allegedly treating woman as the private property of her husband, and on the other hand for giving women complete protection against punishment for adultery"
21,"Sections 120B (criminal conspiracy), 121 (war against the Government of India), 132 (mutiny), 194 (false evidence to procure conviction for a capital offence), 302, 303 (murder), 305 (abetting suicide), 364A (kidnapping for ransom), 364A (banditry with murder), 376A (rape) have death penalty as punishment"
22,"In 2003, the Malimath Committee submitted its report recommending several far-reaching penal reforms including separation of investigation and prosecution (similar to the CPS in the UK) to streamline criminal justice system"
23,The Code has been amended several times
24,"The Code is universally acknowledged as a cogently drafted code, ahead of its time"
25,"Some references to specific sections (called dafa'a in Hindi-Urdu, دفعہ or दफ़आ/दफ़ा) of the IPC have entered popular speech in India, Pakistan and Bangladesh"
26,"
"
27,"The Indian Judiciary administers a common law system in which customs, precedents and legislation, all codify the law of the land"
28,"There are various levels of judiciary in India – different types of courts, each with varying powers depending on the tier and jurisdiction bestowed upon them"
29,Below is the table of Judicial position of Judicial officers hold when posted in the Court (field) work and when posted on deputation
