0,"Trade involves the transfer of goods or services from one person or entity to another, often in exchange for money"
1,"An early form of trade, barter, saw the direct exchange of goods and services for other goods and services"
2,"In one modern view, trade exists due to specialization and the division of labor, a predominant form of economic activity in which individuals and groups concentrate on a small aspect of production, but use their output in trades for other products and needs"
3,"Retail trade consists of the sale of goods or merchandise from a very fixed location (such as a department store, boutique or kiosk), online or by mail, in small or individual lots for direct consumption or use by the purchaser"
4,"Trade is from Middle English trade , introduced into English by Hanseatic merchants, from Middle Low German trade , from Old Saxon trada, and cognate with Old English tredan (""to tread"")"
5,"Commerce is derived from the Latin commercium, from cum ""together"" and merx, ""merchandise"
6,Trade originated with human communication in prehistoric times
7,"In the Mediterranean region the earliest contact between cultures were of members of the species Homo sapiens principally using the Danube river, at a time beginning 35,000â€“30,000 BCE"
8,Some trace the origins of commerce to the very start of transaction in prehistoric times
9,Trade is believed to have taken place throughout much of recorded human history
10,The earliest use of obsidian in the Near East dates to the Lower and Middle paleolithic
11,Trade in the stone age was investigated by Robert Carr Bosanquet in excavations of 1901
12,"Archaeological evidence of obsidian use provides data on how this material was increasingly the preferred choice rather than chert from the late Mesolithic to Neolithic, requiring exchange as deposits of obsidian are rare in the Mediterranean region"
13,"Obsidian is thought to have provided the material to make cutting utensils or tools, although since other more easily obtainable materials were available, use was found exclusive to the higher status of the tribe using  ""the rich man's flint"""
14,Obsidian was traded at distances of 900 kilometres within the Mediterranean region
15,Trade in the Mediterranean during the Neolithic of Europe was greatest in this material
16,The Sari-i-Sang mine in the mountains of Afghanistan was the largest source for trade of lapis lazuli
17,"Ebla was a prominent trading centre during the third millennia, with a network reaching into Anatolia and north Mesopotamia"
18,Materials used for creating jewelry were traded with Egypt since 3000 BCE
19,"From the beginning of Greek civilization until the fall of the Roman empire in the 5th century, a financially lucrative trade brought valuable spice to Europe from the far east, including India and China"
20,"In ancient Greece Hermes was the god of trade (commerce) and weights and measures, for Romans Mercurius also god of merchants, whose festival was celebrated by traders on the 25th day of the fifth month"
21,"The fall of the Roman empire, and the succeeding Dark Ages brought instability to Western Europe and a near collapse of the trade network in the western world"
22,"The first true maritime trade network in the Indian Ocean was by the Austronesian peoples of Island Southeast Asia, who built the first ocean-going ships"
23,The emergence of exchange networks in the Pre-Columbian societies of and near to Mexico are known to have occurred within recent years before and after 1500 BCE
24,Trade networks reached north to Oasisamerica
25,"During the Middle Ages, commerce developed in Europe by trading luxury goods at trade fairs"
26,"During the Middle Ages, Central Asia was the economic center of the world"
27,"From the 8th to the 11th century, the Vikings and Varangians traded as they sailed from and to Scandinavia"
28,Vasco da Gama pioneered the European Spice trade in 1498 when he reached Calicut after sailing around the Cape of Good Hope at the southern tip of the African continent
29,"From 1070 onward, kingdoms in West Africa became significant members of global trade"
30,"In the 16th and 17th centuries, the Portuguese gained economic advantage in the Kingdom of Kongo due to different philosophies of trade"
31,"In the 16th century, the Seventeen Provinces were the centre of free trade, imposing no exchange controls, and advocating the free movement of goods"
32,"In 1776, Adam Smith published the paper An Inquiry into the Nature and Causes of the Wealth of Nations"
33,"In 1799, the Dutch East India Company, formerly the world's largest company, became bankrupt, partly due to the rise of competitive free trade"
