,0,1,2,3,4,5,6
0,URL,NNP,B-NP,o,o,o,o
1,;,:,o,o,o,o,o
2,http,NN,B-NP,o,o,o,o
3,:,:,o,o,o,o,o
4,/,SYM,B-NP,o,o,o,o
5,/,SYM,I-NP,o,o,o,o
6,www.indiapost.gov.in,JJ,I-NP,o,o,o,o
7,/,SYM,I-NP,o,o,o,o
8,NSC.aspx,NNP,I-NP,o,o,o,o
9,Time,NNP,I-NP,o,o,o,o
10,:,:,o,o,o,o,o
11,3,CD,B-NP,o,o,o,o
12,.,.,o,o,o,o,o
13,,,,,,,
14,30,CD,B-NP,o,o,o,o
15,P.M,NNP,I-NP,o,o,o,o
16,National,NNP,I-NP,o,o,o,o
17,Savings,NNP,I-NP,o,o,o,o
18,Certificates,NNS,I-NP,o,o,o,o
19,(,(,o,o,o,o,o
20,NSC,NNP,B-NP,o,o,o,o
21,),SYM,I-NP,o,o,o,o
22,,,,,,,
23,NSC,NNP,B-NP,o,o,o,o
24,VIII,NNP,I-NP,o,o,o,o
25,Issue,NN,I-NP,o,o,o,o
26,,,,,,,
27,*,SYM,o,o,o,o,o
28,Scheme,NNP,B-NP,o,o,o,o
29,specially,RB,B-ADVP,o,o,o,o
30,designed,VBD,B-VP,o,o,o,o
31,for,IN,B-PP,o,o,o,o
32,Government,NNP,B-NP,B-NORP,B-NORP,o,o
33,employees,NNS,I-NP,I-NORP,L-NORP,o,o
34,",",",",o,o,o,o,o
35,Businessmen,NNS,B-NP,o,o,o,o
36,and,CC,I-NP,o,o,o,o
37,other,JJ,B-NP,o,o,o,o
38,salaried,JJ,I-NP,o,o,o,o
39,classes,NNS,I-NP,o,o,o,o
40,who,WP,B-NP,o,o,o,o
41,are,VBP,B-VP,o,o,o,o
42,Income,NNP,B-NP,o,o,o,o
43,Tax,NNP,I-NP,o,o,o,o
44,assesses.,CD,I-NP,o,o,o,o
45,*,SYM,I-NP,o,o,o,o
46,No,DT,B-NP,o,o,o,o
47,maximum,JJ,I-NP,o,o,o,o
48,limit,NN,I-NP,o,o,o,o
49,for,IN,B-PP,o,o,o,o
50,investment.,JJ,B-ADJP,o,o,o,o
51,*,SYM,I-ADJP,o,o,o,o
52,No,DT,B-NP,o,o,o,o
53,Tax,NNP,I-NP,o,o,o,o
54,deduction,NN,I-NP,o,o,o,o
55,at,IN,B-PP,o,o,o,o
56,source.,CD,B-NP,o,o,o,o
57,*,SYM,I-NP,o,o,o,o
58,Certificates,NNS,B-NP,o,o,o,o
59,can,MD,B-VP,o,o,o,o
60,be,VB,I-VP,o,o,o,o
61,kept,VBN,I-VP,o,o,o,o
62,as,IN,B-PP,o,o,o,o
63,collateral,NN,B-NP,o,o,o,o
64,security,NN,I-NP,o,o,o,o
65,to,TO,B-VP,o,o,o,o
66,get,VB,I-VP,o,o,o,o
67,loan,NN,B-NP,o,o,o,o
68,from,IN,B-PP,o,o,o,o
69,banks.,CD,B-NP,o,o,o,o
70,*,SYM,I-NP,o,o,o,o
71,Investment,NNP,B-NP,o,o,o,o
72,up,IN,B-ADVP,o,o,o,o
73,to,TO,B-PP,o,o,o,o
74,INR,NNP,B-NP,B-MONEY,B-MONEY,o,o
75,"1,00,000",CD,I-NP,I-MONEY,L-MONEY,o,o
76,/,SYM,I-NP,o,o,o,o
77,-,:,o,o,o,o,o
78,per,IN,B-PP,o,o,o,o
79,annum,NN,B-NP,o,o,o,o
80,qualifies,VBZ,B-VP,o,o,o,o
81,for,IN,B-PP,o,o,o,o
82,IT,PRP,B-NP,o,o,o,o
83,Rebate,NNP,B-NP,o,o,o,o
84,under,IN,B-PP,o,o,o,o
85,section,NN,B-NP,o,o,o,o
86,80C,CD,I-NP,o,o,o,o
87,of,IN,B-PP,o,o,o,o
88,Income,NNP,B-NP,o,o,o,o
89,Tax,NNP,I-NP,o,o,o,o
90,Act.,NNP,I-NP,o,o,o,o
91,*,SYM,I-NP,o,o,o,o
92,Trust,NNP,B-NP,o,o,o,o
93,and,CC,I-NP,o,o,o,o
94,HUF,NNP,I-NP,o,o,o,o
95,cannot,MD,B-VP,o,o,o,o
96,invest.,VB,I-VP,o,o,o,o
97,*,SYM,I-VP,o,o,o,o
98,Rate,NNP,B-NP,o,o,o,o
