1_grams,Frequency
india,11053
rs,8171
may,6241
sensex,5408
u,4699
govt,4528
1,4411
new,4381
oil,3970
dollar,3951
trade,3678
us,3656
rupee,3593
bank,3525
2,3523
5,3049
stocks,3038
says,2966
crore,2904
indian,2885
points,2863
3,2847
tax,2844
growth,2809
prices,2766
global,2731
rbi,2716
cr,2628
market,2602
high,2495
gold,2487
net,2459
paise,2287
set,2220
early,2215
plans,2162
banks,2151
10,2117
rise,2103
stake,2094
deal,2066
profit,2055
tata,2052
000,2023
4,2011
year,1948
sales,1923
companies,1906
6,1881
gains,1875
7,1728
rates,1725
cut,1716
get,1700
low,1684
hit,1679
rate,1675
inflation,1674
shares,1635
markets,1625
trump,1614
price,1607
top,1575
china,1572
business,1548
plan,1543
hike,1538
sebi,1519
buy,1490
8,1486
power,1443
gets,1435
fall,1430
cos,1412
investors,1393
month,1364
week,1357
funds,1356
air,1339
firms,1325
share,1323
per,1322
rises,1285
fund,1280
9,1272
eyes,1265
watch,1258
firm,1242
hits,1234
invest,1227
data,1215
ceo,1208
falls,1206
seeks,1194
car,1193
ril,1189
higher,1176
gas,1158
take,1154
cash,1152
group,1147
factors,1147
sector,1132
pc,1121
budget,1107
demand,1105
q2,1102
back,1092
report,1090
time,1084
government,1083
day,1082
pay,1077
20,1066
gst,1065
sell,1063
big,1057
ahead,1056
lower,1047
sbi,1041
record,1026
debt,1022
0,1019
investment,1013
cues,1001
world,1001
policy,999
asia,996
talks,978
first,975
end,973
cuts,973
home,970
open,968
loan,967
retail,967
steel,967
15,963
raise,963
offer,962
q3,962
earnings,959
uk,950
billion,944
buys,941
pts,940
chief,938
reliance,932
exports,927
maruti,922
fuel,921
go,920
likely,919
fdi,914
fed,913
insurance,900
economy,898
jet,897
make,892
inc,889
years,884
industry,880
sale,880
tech,878
lakh,877
ongc,875
next,875
loss,874
board,872
co,872
50,866
foreign,856
ipo,856
two,845
pct,844
norms,838
futures,837
boost,830
australia,830
ends,827
infosys,822
12,814
jobs,814
wall,809
bid,806
25,805
loans,805
airlines,805
crude,804
stock,796
finance,796
weak,795
auto,793
sees,782
11,781
100,778
q1,775
pm,770
panel,765
unit,764
march,764
meet,761
launches,753
plant,752
interest,745
korea,744
money,737
e,734
june,732
raises,727
million,726
18,725
nifty,725
gain,725
japan,723
30,720
april,719
case,716
launch,714
fm,712
push,711
biz,711
credit,708
food,705
court,704
soon,698
nod,693
satyam,692
cost,691
equity,689
asian,688
offers,684
company,681
coal,680
13,676
2017,673
revenue,672
capital,668
500,667
dips,667
street,666
16,658
financial,650
icici,646
14,643
telecom,641
output,638
bill,637
services,637
reports,637
economic,634
project,631
energy,629
steady,624
takes,623
focus,621
wheat,620
p,617
flat,615
one,613
corn,613
cbot,612
july,610
losses,605
