1_grams,Frequency
university,1738
students,1726
exam,874
education,846
2018,822
schools,739
cbse,726
results,709
new,614
class,598
colleges,595
board,564
iit,555
delhi,541
school,539
year,435
du,425
admission,422
college,421
courses,421
exams,413
today,394
online,392
teachers,383
result,380
test,380
engineering,368
india,366
get,344
seats,341
govt,337
course,330
admissions,323
check,315
may,301
jee,295
medical,280
ugc,272
entrance,271
iim,263
first,258
top,257
maharashtra,248
mumbai,247
released,239
10,233
1,231
indian,228
paper,226
gujarat,226
declared,221
day,212
list,209
student,208
recruitment,200
science,200
hc,197
universities,195
2,195
set,193
varsity,192
apply,187
higher,187
12,185
open,177
high,176
study,173
admit,173
ssc,173
soon,171
3,168
research,167
government,166
private,165
centre,164
national,162
x,161
programme,159
management,159
english,157
rajasthan,157
xii,157
marks,155
sc,152
b,152
000,150
fee,150
gets,150
neet,148
rte,148
state,148
iits,147
campus,145
take,144
5,142
pg,142
girls,142
aspirants,141
kids,141
posts,139
card,138
process,136
says,136
institute,135
4,133
hsc,132
system,132
cut,132
pradesh,132
cat,131
learning,130
start,129
degree,128
mba,128
tamil,128
likely,127
hrd,127
pass,125
begins,124
100,122
time,122
counselling,122
go,122
vc,120
examination,119
lakh,118
foreign,117
answer,116
date,116
nadu,116
nic,115
world,115
make,115
gov,114
begin,114
download,113
us,113
years,113
rs,112
bihar,112
career,112
court,112
application,112
panel,110
odisha,110
secondary,110
candidates,109
global,108
two,107
held,106
nagpur,106
phd,105
law,105
2017,104
council,104
varsities,102
last,101
launches,99
common,99
institutes,98
karnataka,97
lucknow,96
hold,96
mbbs,95
teacher,95
details,94
score,94
syllabus,94
studies,94
help,93
business,93
offer,93
one,92
12th,92
women,92
quota,91
uk,91
kerala,89
tops,89
pune,89
best,88
must,87
allahabad,87
centres,87
papers,86
academic,86
meet,85
plans,85
better,85
jnu,85
ignou,84
link,84
faculty,84
policy,84
parents,84
next,84
vacant,84
police,83
15,83
question,82
many,82
aicte,82
among,82
still,82
50,81
forms,81
st,81
tech,81
ministry,80
june,80
bengal,79
goa,79
international,79
madras,78
10th,78
group,78
cutoff,77
icse,77
tomorrow,77
registration,77
ug,77
job,77
2019,77
announced,76
training,76
patna,76
cet,76
way,76
change,75
protest,75
second,75
nursery,75
classes,75
technology,74
net,74
6,74
clear,74
three,74
hike,74
session,74
ap,74
free,74
pu,73
degrees,73
punjab,72
starts,72
survey,72
main,72
announces,72
30,71
8,71
fees,71
eligibility,71
2013,71
central,71
special,69
bangalore,69
scholarship,69
launch,69
work,69
give,69
asks,68
boys,68
quality,68
upsc,68
jobs,68
maths,68
report,67
25,67
norms,67
commerce,67
subject,67
merit,67
haryana,66
right,66
boards,66
2012,66
convocation,66
say,65
seeks,65
dates,65
20,65
back,64
offers,64
andhra,64
move,64
pre,64
july,63
toppers,63
yet,63
scholarships,62
four,62
plan,62
applications,62
president,62
scores,62
post,62
week,61
west,61
key,61
technical,61
7,61
choice,60
evaluation,60
march,60
tests,60
round,59
order,59
find,59
boy,59
april,59
jamia,59
children,58
end,58
institutions,58
rrb,58
advanced,58
nod,58
telangana,58
cutoffs,58
tells,57
focus,57
ac,57
ii,57
times,57
future,56
rules,56
appear,56
teaching,56
girl,56
form,56
come,56
e,56
final,56
need,56
based,56
takers,55
bcom,55
graduates,55
skills,55
number,55
language,55
city,55
ca,55
available,55
vice,54
makes,54
bombay,54
social,54
director,54
ncert,54
constable,53
sports,53
prelims,53
services,53
department,53
fyup,53
ahmedabad,53
seat,53
13,52
row,52
bed,52
placement,52
chennai,52
leak,51
poor,51
minister,51
development,51
k,51
days,51
till,51
drop,50
big,50
notification,50
website,50
panjab,50
civil,50
books,50
award,50
assam,50
pay,50
ibps,50
demand,49
isc,49
diploma,49
chancellor,49
mp,49
primary,49
hyderabad,49
undergraduate,49
good,49
face,49
design,49
curriculum,48
tn,48
conduct,48
ready,48
issues,48
learn,48
releases,48
teach,47
goes,47
hindi,47
third,47
arts,47
success,47
2nd,47
