1_grams,Frequency
khan,8547
film,8180
kapoor,6015
salman,3895
next,3781
new,3268
bollywood,2799
love,2562
shah,2489
singh,2381
2,2330
says,2259
films,2248
play,2246
first,2177
gets,2142
rukh,2109
chopra,2062
star,2043
priyanka,2039
bachchan,2025
release,2015
kumar,1889
movie,1833
b,1742
back,1692
deepika,1692
actor,1688
look,1651
ranbir,1648
make,1612
akshay,1561
director,1528
life,1511
big,1497
wants,1490
aamir,1453
day,1446
time,1427
ali,1423
get,1387
debut,1384
srk,1381
like,1374
birthday,1371
katrina,1368
set,1345
amitabh,1342
sanjay,1336
work,1328
wedding,1310
team,1303
hrithik,1272
sharma,1258
would,1255
kareena,1247
shoot,1240
pic,1239
role,1231
bhatt,1223
arjun,1219
india,1213
shahid,1203
turns,1185
vijay,1177
year,1144
trailer,1122
watch,1114
3,1101
ranveer,1094
actress,1083
song,1075
padukone,1056
karan,1055
one,1046
goes,1035
want,998
sunny,991
family,987
office,983
girl,967
son,961
box,933
makes,928
anushka,925
daughter,921
saif,921
sonam,909
best,909
john,899
alia,899
dutt,897
together,897
happy,892
story,891
wife,891
fans,882
hollywood,880
kamal,875
action,864
kaif,853
awards,849
haasan,846
stars,846
ajay,845
remake,836
vidya,828
man,827
takes,825
special,825
take,819
shooting,815
mumbai,814
varun,811
rs,807
roshan,803
good,799
shetty,798
award,797
picture,796
rajinikanth,796
delhi,781
away,778
indian,777
mahesh,763
never,759
screen,756
starrer,756
baby,751
hit,750
ram,745
aishwarya,740
go,734
town,729
tamil,728
abhishek,718
kangana,718
people,715
raj,705
johar,704
act,703
women,697
kids,697
home,687
show,686
sonakshi,680
made,674
music,673
marriage,672
actors,665
dhawan,662
father,661
ready,653
real,648
cinema,645
two,642
kannada,641
romance,641
years,640
review,639
party,637
celebs,637
crore,635
plays,621
shares,620
date,619
rai,619
biopic,618
case,617
sequel,616
sets,612
acting,611
fan,609
world,608
jennifer,608
sinha,597
leone,593
dance,591
joins,582
us,577
looks,577
bipasha,573
launch,571
may,571
still,568
today,566
ranaut,564
mohanlal,560
part,555
days,553
post,550
dhanush,548
shraddha,548
direct,547
plans,545
kate,545
sex,541
rao,540
meet,540
devgn,539
anil,537
reveals,536
friends,535
festival,531
dad,531
hero,525
pics,524
teaser,522
balan,521
soon,519
another,518
poster,517
babu,513
menon,509
movies,508
tiger,505
wo,505
mother,501
vikram,500
comedy,499
break,498
got,497
5,494
ex,493
malhotra,490
1,489
working,488
deol,488
ravi,486
top,483
video,481
shroff,481
playing,478
ajith,478
sridevi,476
come,476
wood,474
amy,470
miss,468
prakash,467
farhan,466
telugu,466
tv,465
ash,463
jacqueline,461
bond,460
vishal,460
twitter,456
basu,456
high,453
passes,453
akhtar,453
producer,452
anurag,450
celebrates,449
thriller,449
industry,447
way,446
woman,445
anand,445
rani,444
photo,443
cast,441
shilpa,440
vivek,438
house,438
death,436
collection,435
wanted,434
shruti,433
hindi,430
great,429
boy,428
emraan,426
second,424
irrfan,423
married,421
10,421
rajput,421
shoots,421
see,418
sudeep,417
hai,417
making,416
abraham,415
yet,414
dev,414
talks,412
kajol,411
k,411
know,410
paris,408
tom,408
yash,407
roles,406
hot,405
rajkumar,405
jolie,404
dating,403
name,403
gives,401
mammootty,400
roy,400
always,399
london,397
sen,397
oscar,397
career,397
tollywood,397
character,396
men,394
marathi,394
mom,394
aditya,394
rumours,392
join,391
latest,391
returns,390
revealed,387
villain,387
bash,387
co,385
three,381
sidharth,381
say,380
manoj,380
audio,380
court,379
wishes,379
rahul,378
madhuri,378
imran,377
ki,377
success,375
wins,375
jackson,374
khanna,374
style,373
chennai,373
pawan,372
loves,372
cannes,371
social,371
excited,371
comes,371
spotted,370
sandalwood,370
britney,369
filmfare,369
paul,368
rishi,367
media,366
old,364
lead,363
preity,363
suriya,362
secret,360
child,360
going,359
mani,359
turn,357
fernandez,356
scenes,353
bhansali,353
international,353
national,349
brother,348
kher,347
4,346
times,346
share,345
comeback,345
tribute,344
pooja,343
getting,343
fun,343
title,342
denies,342
scene,341
sister,341
kriti,341
released,339
need,338
bags,337
night,335
kollywood,335
start,335
single,334
finds,334
item,332
calls,332
wish,331
right,330
dil,329
become,328
south,327
sonu,327
live,325
fashion,325
face,324
feels,324
support,324
charan,324
trisha,324
gupta,323
husband,322
farah,321
inspired,321
heart,321
anupam,321
feel,321
