1_grams,Frequency
cancer,754
may,727
risk,714
health,667
heart,618
healthy,529
weight,502
help,448
diet,421
women,409
diabetes,339
new,318
ways,312
loss,302
5,301
kids,298
foods,293
tips,289
food,288
good,281
fat,264
get,259
study,253
disease,251
top,249
exercise,249
sleep,247
make,244
brain,230
stress,221
10,219
sex,218
day,212
life,208
eat,208
yoga,206
fitness,205
obesity,202
men,196
patients,194
breast,193
body,193
20,190
high,189
could,188
people,182
linked,180
fight,178
keep,177
best,177
pain,168
india,167
prevent,161
know,161
smoking,159
depression,157
workout,156
blood,155
way,155
lose,152
drug,152
fit,149
better,146
eating,143
avoid,142
must,142
treat,140
benefits,138
home,137
cause,135
7,132
pregnancy,129
cut,128
bad,128
skin,125
boost,125
stay,123
6,121
need,120
treatment,115
common,112
exercises,111
low,110
myths,109
right,109
helps,109
attack,107
drugs,107
beat,107
8,106
cure,105
stroke,103
alzheimer,102
lead,99
ups,99
summer,99
lifestyle,98
diseases,98
vitamin,98
reduce,97
hiv,96
test,96
one,95
4,95
air,95
age,91
take,91
soon,91
work,89
habits,89
improve,88
use,86
obese,86
simple,86
world,86
therapy,86
reasons,86
water,85
control,85
free,85
problems,85
time,84
year,84
asthma,84
memory,83
less,83
workouts,83
cholesterol,83
things,83
mental,83
flu,82
early,82
go,82
sugar,79
lower,78
increase,78
much,78
3,76
first,76
affect,76
coffee,76
back,75
daily,75
try,75
pollution,75
drinking,74
doctors,73
care,73
indian,73
vaccine,73
symptoms,72
zika,72
gym,72
stop,72
remedies,71
alcohol,71
protein,71
milk,71
babies,70
damage,70
dengue,70
signs,70
cuts,69
child,69
drink,69
want,69
children,68
causes,68
diabetics,68
every,68
away,68
among,67
bp,67
says,67
virus,67
pregnant,66
young,66
experts,66
tea,66
easy,65
cells,65
death,65
1,65
gain,65
affects,64
effective,64
cases,64
pressure,64
eye,63
post,63
start,63
kidney,60
birth,60
disorder,60
likely,60
night,60
facts,60
guide,60
mind,59
give,59
surgery,59
cold,58
15,58
say,57
gene,57
rise,57
long,57
malaria,57
us,57
harmful,56
anti,56
morning,56
sexual,56
beware,55
even,55
genes,55
making,55
pill,55
smokers,55
like,55
safe,54
lung,54
protect,54
plan,53
love,53
anxiety,53
30,52
live,52
healthier,52
mumbai,52
oil,52
deaths,52
green,52
dementia,52
poor,51
makes,51
wine,51
teeth,51
years,51
bay,50
tobacco,50
red,50
higher,50
infections,50
hair,49
pics,49
delhi,49
disorders,49
childhood,49
happy,49
effects,49
2,49
without,49
breakfast,49
deal,49
9,49
save,49
drinks,48
winter,48
detect,48
teens,48
fruits,48
addiction,47
behind,47
kill,46
indians,46
diets,46
monsoon,46
walk,46
social,46
leads,46
mistakes,46
calories,45
bone,45
really,45
longer,45
natural,45
prone,45
eyes,45
baby,45
important,44
season,44
liver,44
feel,44
docs,44
quit,44
levels,44
feeling,44
bacteria,44
fish,43
older,43
detox,43
mood,43
quality,43
find,43
belly,43
chronic,42
harm,42
type,42
energy,42
e,42
running,42
elderly,42
tb,41
medical,41
old,41
fertility,41
hot,41
found,41
prevention,40
hormone,40
syndrome,40
predict,40
oral,40
combat,40
c,40
revealed,39
steps,39
juice,39
key,39
arthritis,39
change,38
diwali,38
training,38
watch,38
cigarettes,38
kilos,38
snacks,38
male,38
burn,38
non,38
getting,38
killer,37
failure,37
secret,37
power,37
unhealthy,37
swine,37
pills,37
risks,37
intake,37
junk,37
muscle,37
fast,36
face,36
hepatitis,36
increases,36
changes,36
scientists,36
living,36
curb,36
blame,36
meat,36
diabetic,36
adults,36
rid,36
ageing,35
many,35
premature,35
understanding,35
look,35
still,35
woman,35
office,35
music,35
quick,35
using,35
working,34
follow,34
boosts,34
trigger,34
cell,34
prostate,34
lost,34
expert,34
stomach,34
breastfeeding,34
turn,33
device,33
chocolate,33
infection,33
attacks,33
suffering,33
cancers,33
never,33
losing,33
week,32
50,32
reduces,32
transplant,32
ease,32
menopause,32
govt,32
illness,32
autism,32
perfect,32
human,32
minutes,32
deadly,31
heat,31
lives,31
migraine,31
hope,31
suffer,31
let,31
identified,31
slim,31
exposure,31
today,30
self,30
rules,30
festive,30
abs,30
big,30
late,30
awareness,30
secrets,30
rich,30
smoke,30
put,30
gut,30
mother,29
extra,29
blues,29
super,29
hit,29
veggies,29
puts,29
genetic,29
binge,29
fun,29
man,29
months,29
depressed,29
celebrity,29
tackle,29
sleeping,29
spread,29
suicide,28
mothers,28
busted,28
raise,28
infertility,28
link,28
online,28
tests,28
calorie,28
causing,28
sperm,28
run,28
well,28
cravings,28
heal,28
aspirin,28
hypertension,28
cardiac,28
five,28
system,27
nutrition,27
kick,27
tell,27
taking,27
essential,27
issues,27
fear,27
check,27
stem,27
increased,27
shed,27
buster,27
butt,27
antibiotic,27
everything,27
keeps,27
sweet,27
dangerous,27
days,26
immunity,26
medicine,26
aids,26
antibiotics,26
die,26
growth,26
ignore,26
city,26
lack,26
alert,26
supplements,26
ban,26
triggers,26
vision,26
battle,26
double,25
salt,25
might,25
lowers,25
immune,25
healing,25
made,25
fruit,25
everyday,25
sitting,25
40,25
stressed,25
meals,25
nuts,25
ideas,25
moms,25
enough,25
benefit,25
drive,25
girls,25
become,25
hearing,24
doctor,24
allergies,24
shows,24
think,24
meal,24
smartphone,24
tooth,24
single,24
side,24
add,24
parents,24
six,24
finds,24
dysfunction,24
person,24
activity,24
two,24
pre,24
happiness,23
percent,23
types,23
mantra,23
video,23
parkinson,23
centre,23
regular,23
bed,23
cost,23
reality,23
tv,23
improves,23
fasting,23
learn,23
youth,23
hours,23
2017,23
multiple,23
kid,23
walking,23
different,23
warning,23
minute,23
related,23
injury,22
rs,22
tried,22
000,22
games,22
meditation,22
dental,22
popular,22
marijuana,22
posture,22
beer,22
asanas,22
comes,22
shape,22
de,22
function,22
mums,22
gets,22
bones,22
problem,22
vs,22
sick,21
deficiency,21
ready,21
going,21
superfoods,21
25,21
cool,21
ill,21
smart,21
threat,21
knee,21
cigarette,21
clean,21
born,21
story,21
2016,21
poses,21
physical,21
family,21
wo,21
yet,21
watching,21
flab,21
delay,20
routine,20
cough,20
100,20
see,20
worst,20
kgs,20
viagra,20
ailments,20
heavy,20
fever,20
greater,20
healthcare,20
fad,20
active,20
mobile,20
coming,20
faster,20
technique,20
next,20
allergy,20
insulin,20
marathon,20
breath,20
choices,20
risky,20
brains,20
due,20
vaginal,20
develop,20
ayurveda,20
fatigue,20
step,20
closer,20
based,20
worse,20
china,19
gum,19
hangover,19
mediterranean,19
osteoporosis,19
thyroid,19
kills,19
later,19
h1n1,19
would,19
light,19
addicted,19
actually,19
60,19
hand,19
method,19
takes,19
prevents,19
hour,19
reverse,19
fatal,19
rice,19
burning,18
rate,18
infants,18
positive,18
turmeric,18
cooking,18
history,18
weekend,18
headache,18
phone,18
holiday,18
ivf,18
emotional,18
myth,18
end,18
relief,18
latest,18
level,18
noise,18
hospitals,18
truth,18
tricks,18
ovarian,18
overcome,18
feet,18
wear,18
kitchen,18
ebola,18
million,18
three,18
slow,18
epilepsy,18
little,18
list,18
2012,18
hard,18
tied,18
dieting,18
neck,18
tummy,18
colon,18
female,18
contraceptive,18
diagnosis,17
special,17
sexy,17
promise,17
pack,17
month,17
dry,17
ward,17
celebrities,17
lakh,17
calcium,17
resistant,17
2018,17
survivors,17
teen,17
white,17
strong,17
always,17
exercising,17
raises,17
app,17
sports,17
herbal,17
survey,17
dance,17
times,17
treatments,17
desk,17
flat,17
caffeine,17
hygiene,17
serious,17
sign,17
dos,17
abuse,17
size,17
habit,17
2013,17
medicines,17
report,16
set,16
effect,16
sugary,16
broccoli,16
naturally,16
overweight,16
identify,16
fix,16
eggs,16
fresh,16
longevity,16
dna,16
road,16
possible,16
breathing,16
cervical,16
injuries,16
urinary,16
real,16
fats,16
advice,16
wrong,16
mom,16
play,16
head,16
lungs,16
fatty,16
strength,16
youngsters,16
internet,16
chicken,16
hormones,16
spot,16
great,16
tax,16
booze,16
cardio,16
party,16
16,16
resistance,16
quiz,16
term,16
toned,16
smarter,16
chikungunya,16
trends,16
younger,16
apnea,16
protects,16
dark,16
short,16
break,16
apps,16
driving,16
metabolism,16
bring,16
also,16
erectile,16
partner,16
12,15
faqs,15
budget,15
media,15
humans,15
computer,15
severe,15
organ,15
fall,15
second,15
around,15
sun,15
middle,15
excess,15
research,15
heartburn,15
tumour,15
digital,15
per,15
biggest,15
pneumonia,15
iron,15
enjoy,15
sclerosis,15
toll,15
maintain,15
rising,15
oils,15
combo,15
holi,15
b,15
half,15
job,15
pcos,15
bowel,15
part,15
relax,15
taste,15
choose,15
weather,15
muscles,15
silent,15
cycling,15
talk,15
mean,15
polio,15
smell,15
mosquitoes,15
past,15
testosterone,15
deep,15
dealing,15
nutritional,15
contact,15
major,15
pancreatic,15
respiratory,15
hospital,15
80,15
beginners,14
menstrual,14
soy,14
performance,14
spices,14
breathe,14
manage,14
sure,14
news,14
decoded,14
killing,14
nicotine,14
digestion,14
needs,14
increasing,14
