2_grams,Frequency
assembly elections,485
elections 2018,230
elections 2015,222
delhi elections,217
narendra modi,201
madhya pradesh,184
rahul gandhi,174
rajasthan assembly,173
election results,160
telangana assembly,138
assembly polls,134
bihar election,115
pm modi,112
amit shah,105
arvind kejriwal,104
pradesh assembly,101
delhi election,100
election 2015,92
election commission,90
akhilesh yadav,78
assembly election,76
samajwadi party,70
uttar pradesh,68
j k,67
gujarat elections,60
2015 results,54
results 2015,52
delhi assembly,51
bjp congress,50
gujarat polls,49
mulayam singh,49
2015 bjp,45
singh yadav,44
himachal pradesh,43
congress bjp,43
chief minister,41
amarinder singh,40
delhi polls,39
election result,38
2015 aap,38
poll code,38
vasundhara raje,37
poll panel,36
pm narendra,36
voter turnout,36
results 2018,35
aam aadmi,34
elections 2017,34
punjab polls,33
lok sabha,32
code violation,32
jd u,31
poll bound,31
kiran bedi,31
poll duty,30
poll campaign,30
first phase,29
first list,29
bihar elections,29
telangana elections,28
sonia gandhi,28
shivraj singh,28
vote share,27
tamil nadu,27
gujarat election,27
pradesh elections,27
shiv sena,27
aadmi party,26
exit polls,26
modi says,25
sp congress,25
cong bjp,25
ashok gehlot,25
polling booths,25
goa polls,25
2018 congress,25
singh chouhan,25
captain amarinder,24
punjab assembly,23
singh sidhu,23
navjot singh,23
bjp says,23
cast vote,23
file papers,23
himachal polls,23
first time,23
bjp leaders,23
yogi adityanath,23
rajnath singh,22
elections 2014,22
pradesh election,22
singh badal,22
social media,21
per cent,21
chandrababu naidu,21
elections bjp,21
chhattisgarh polls,21
file nominations,21
bjp win,20
campaign trail,20
election 2013,20
gujarat assembly,20
sheila dikshit,20
bjp mla,19
postal ballots,19
telangana election,19
polls bjp,19
bihar polls,19
pradesh polls,19
poll results,19
elections congress,19
model code,19
says bjp,18
polls 2017,18
grand alliance,18
sachin pilot,18
second phase,18
file nomination,18
political parties,18
bjp candidate,18
home turf,17
bjp may,17
results bihar,17
congress candidate,17
congress alliance,17
pre poll,17
women voters,17
elections bihar,17
congress manifesto,17
2015 bihar,17
congress leaders,17
west bengal,17
nitish kumar,17
cast votes,16
form government,16
rajasthan elections,16
rajasthan polls,16
results 2013,16
chandrasekhar rao,16
first timers,16
raman singh,16
prime minister,15
candidates file,15
sp bsp,15
candidates list,15
ahead polls,15
paid news,15
young voters,15
kejriwal says,15
bjp nda,15
manohar parrikar,15
counting votes,15
ec notice,15
bjp workers,14
harish rawat,14
hold key,14
voting begins,14
elections results,14
bjp ticket,14
vote bjp,14
form govt,14
files nomination,14
rajasthan election,14
says rahul,14
note ban,14
join bjp,14
arun jaitley,14
cm candidate,14
shivpal yadav,14
govt formation,14
year old,13
bjp chief,13
modi address,13
irom sharmila,13
jignesh mevani,13
contest polls,13
high turnout,13
5 years,13
bjp poll,13
sharad pawar,13
boycott polls,13
hardik patel,13
new delhi,13
hat trick,13
take oath,13
poll season,13
bound states,13
polls congress,13
bjp set,13
joins bjp,13
list candidates,13
election duty,13
big guns,13
harsh vardhan,12
ajit jogi,12
kamal nath,12
modi rally,12
seat sharing,12
maharashtra assembly,12
ibobi singh,12
minister narendra,12
congress candidates,12
akali dal,12
final list,12
phase polling,12
last day,12
bjp list,12
muslim votes,12
opinion poll,12
bjp mlas,12
congress list,12
joins congress,12
bjp manifesto,12
bjp leader,12
priyanka gandhi,11
people vote,11
2014 bjp,11
polls 2018,11
polls ec,11
uma bharti,11
uddhav thackeray,11
post poll,11
asaduddin owaisi,11
mizoram assembly,11
parkash singh,11
show strength,11
congress win,11
congress may,11
party congress,11
bjp releases,11
releases manifesto,11
tough fight,11
congress sp,11
phase ii,11
bjp candidates,11
congress ticket,11
fourth phase,11
mamata banerjee,11
sad bjp,11
poll fray,11
k chandrasekhar,11
code conduct,11
trinamool congress,11
bjp promises,11
counting centres,11
bjp cong,11
congress ncp,11
electoral rolls,10
goa assembly,10
election code,10
maharashtra haryana,10
high court,10
congress says,10
results bjp,10
poll day,10
rs 1,10
polling stations,10
2015 kejriwal,10
ticket distribution,10
need know,10
capt amarinder,10
lalu prasad,10
voters list,10
win rajasthan,10
phase polls,10
sabha polls,10
exit poll,10
chhattisgarh congress,10
hung house,10
2018 bjp,10
may get,10
sitting mlas,10
new govt,10
sukhbir singh,10
bjp campaign,9
vote bank,9
final phase,9
woo voters,9
bjp victory,9
manmohan singh,9
poll eve,9
cong leaders,9
congress releases,9
urban voters,9
next week,9
election 2018,9
digvijaya singh,9
give bjp,9
cm post,9
says akhilesh,9
delhi cm,9
cm says,9
voting way,9
aap bjp,9
criminal cases,9
modi wave,9
2015 congress,9
may join,9
poll officials,9
polls predict,9
revanth reddy,9
cong ncp,9
chhattisgarh assembly,9
modi slams,9
bjp wins,9
candidates fray,9
modi amit,9
clean sweep,9
time voters,9
smriti irani,9
nominations filed,9
voter slips,9
women candidates,9
poll plank,9
says modi,9
2013 bjp,9
leader opposition,9
star campaigners,9
