2_grams,Frequency
may help,93
breast cancer,76
cancer risk,66
stem cells,66
heart attack,63
year old,56
says study,55
world first,53
heart disease,51
stem cell,42
scientists find,41
solar system,40
blood test,39
milky way,37
help fight,35
scientists discover,35
could help,34
years ago,34
live longer,33
scientists develop,33
black hole,32
space station,32
mars mission,31
3d printed,31
study finds,29
help treat,29
heart attacks,28
may lead,28
climate change,27
yr old,26
scientists create,25
junk food,25
risk study,25
black holes,25
coming soon,24
drug resistant,24
new drug,24
new tech,23
skin cancer,22
first time,22
risk heart,21
big bang,21
mars orbiter,21
million years,20
diabetes risk,20
may cause,20
attack risk,20
new study,20
000 years,19
saturn moon,19
light years,19
cancer patients,19
years away,19
nasa probe,19
global warming,19
closer reality,18
ice age,18
test detect,18
lack sleep,18
indian scientists,18
god particle,18
new way,17
weight loss,17
good health,17
solar eclipse,17
fight cancer,17
may make,16
memory loss,16
bird flu,16
life mars,16
higher risk,16
billion years,16
disease risk,16
human brain,16
prostate cancer,16
may soon,15
red planet,15
gravitational waves,15
international space,15
make kids,15
side effects,14
lung cancer,14
health benefits,14
social media,14
years old,14
help beat,14
lab grown,14
lose weight,14
step closer,14
cancer drug,14
cancer study,14
drug may,14
nasa spacecraft,14
scientists claim,13
orbiter mission,13
hi tech,13
cancer cells,13
cancer treatment,13
finds study,13
test spot,13
air pollution,13
dark matter,13
aids vaccine,13
earth like,13
may prevent,12
hold key,12
heart risk,12
shed kilos,12
world smallest,12
blood pressure,12
help prevent,12
world oldest,12
indian origin,12
space mission,12
heart patients,12
ups risk,12
space travel,12
curiosity rover,11
help reduce,11
new test,11
new method,11
may hold,11
health study,11
cervical cancer,11
broken heart,11
like us,11
stroke risk,11
mental health,11
health risk,11
nasa rover,11
cancer cure,11
brain cells,11
gene linked,11
alien life,11
discover new,11
test tell,11
blood sugar,11
birth control,11
yrs ago,11
high bp,11
offers hope,10
artificial intelligence,10
immune system,10
lab made,10
brain tumour,10
year olds,10
women study,10
brain study,10
anti cancer,10
say scientists,10
mona lisa,10
may treat,10
scientists decode,10
gene editing,10
sperm count,10
ebola vaccine,10
every year,10
000 year,10
meteor shower,10
video games,10
nasa finds,10
disease study,10
india first,10
help detect,10
like humans,10
find new,10
mars rover,10
mass extinction,10
early death,10
birth defects,10
indian scientist,10
30 years,9
nasa mission,9
cells help,9
get rid,9
contact lens,9
first 3d,9
raises hope,9
study says,9
gene therapy,9
would iscovered,9
test predict,9
manned mission,9
life study,9
likely die,9
water mars,9
low cost,9
moon mission,9
star trek,9
ray hope,9
say experts,9
vitamin c,9
