2_grams,Frequency
sri lanka,149
nepal pm,55
sri lankan,50
suu kyi,39
nepal maoists,36
nepal earthquake,29
war crimes,24
lanka president,22
army chief,22
nepal govt,20
nepal quake,20
lankan army,19
khaleda zia,19
death toll,17
suicide attack,16
nepal army,16
india nepal,15
lankan president,15
rebels killed,14
afghan taliban,14
killed afghanistan,14
year old,14
new nepal,14
shot dead,13
north korea,13
south asia,13
sheikh hasina,12
afghan president,12
bangladesh pm,11
charles sobhraj,11
bangladesh police,11
al qaida,11
top court,11
death sentence,11
peace process,11
ex president,11
killed nepal,11
lanka army,11
plane crash,11
afghan forces,10
nepal parties,10
bangladesh arrests,10
afghan official,10
nepal ex,10
car bomb,10
afghan capital,9
prime minister,9
militants killed,9
blast near,9
ltte rebels,9
chief justice,9
attack kills,9
maldives president,9
child soldiers,9
islamic state,9
hamid karzai,9
suicide bomber,9
killed kabul,9
lankan troops,9
pm poll,9
bangladesh court,8
nepal new,8
attack afghan,8
nepali congress,8
myanmar president,8
rohingya crisis,8
dalai lama,8
row nepal,8
afghan officials,8
taliban attack,8
nepal president,8
quake hit,8
bomb attack,8
lankan pm,8
ruling party,8
mount everest,8
mt everest,8
opposition leader,8
killed bangladesh,7
1971 war,7
china sea,7
anti india,7
tamil civilians,7
nepal fails,7
indian priests,7
aung san,7
san suu,7
pashupatinath temple,7
saarc summit,7
pm modi,7
first woman,7
taliban kill,7
arrested bangladesh,7
attack kabul,7
human rights,7
islamist leader,7
maoists call,7
hit nepal,7
lanka govt,7
bomb kills,7
gunmen attack,7
new president,7
indian embassy,7
cafe attack,7
ltte chief,7
kills least,7
afghan city,6
india visit,6
b would,6
hits nepal,6
nepal visit,6
death bangladesh,6
police arrest,6
yr old,6
nepal bus,6
new afghan,6
bomber kills,6
earthquake hits,6
hacked death,6
myanmar suu,6
nepal maoist,6
bus accident,6
lanka pm,6
toll hits,6
un chief,6
court upholds,6
killed us,6
missing nepal,6
political crisis,6
us military,6
south korea,6
indian consulate,6
near indian,6
new constitution,6
would esh,6
new pm,6
factory fire,6
kills 1,6
aid nepal,6
nepal peace,6
nepal plane,6
kill least,6
bangladesh polls,6
india trip,6
lanka prez,5
12 killed,5
lanka crisis,5
maoist army,5
nepal government,5
elect new,5
india help,5
nepal first,5
people killed,5
vice president,5
roadside bomb,5
war zone,5
air force,5
us drone,5
afghanistan us,5
india pakistan,5
ex ltte,5
ashraf ghani,5
kills 11,5
nepal parliament,5
kills 3,5
n korea,5
magnitude earthquake,5
pm sheikh,5
maldives ex,5
nepal court,5
tamil tigers,5
lanka polls,5
leader death,5
nepal india,5
nepal sc,5
nepal awaits,5
2 killed,5
lankan forces,5
pranab mukherjee,5
police say,5
afghan election,5
south china,5
india us,5
dead bangladesh,5
lanka war,5
bodies found,5
suicide car,5
pm prachanda,5
goes polls,5
bangladesh top,5
sushil koirala,5
kabul hotel,5
palace massacre,5
nepal bandh,5
pm wickremesinghe,5
animal sacrifice,5
afghan army,5
blast kills,5
nepal minister,5
nepal seeks,5
upholds death,5
dhaka cafe,5
bomb blast,5
kabul airport,5
us soldier,5
india bangladesh,5
bangladesh opposition,5
prabhakaran son,5
accident nepal,5
visit india,5
new govt,5
former pm,5
magnitude quake,4
top islamist,4
maoist protests,4
afghanistan kills,4
10 000,4
nepal temple,4
nepal set,4
us asks,4
indian envoy,4
narendra modi,4
nepal police,4
last king,4
jamaat leader,4
toll rises,4
pashupatinath priests,4
opposition leaders,4
soldiers killed,4
afghan police,4
new envoy,4
civilians killed,4
000 civilians,4
nepal palace,4
killed afghan,4
2 000,4
royal massacre,4
pm visit,4
hundreds dead,4
leader khaleda,4
killed police,4
attack indian,4
attack afghanistan,4
get new,4
says us,4
air base,4
rodrigo duterte,4
nepal child,4
pm hasina,4
gets new,4
gunmen kill,4
india china,4
tsunami warning,4
ranil wickremesinghe,4
embassy kabul,4
tamil national,4
suicide blast,4
former ltte,4
envoy india,4
deputy pm,4
lankan govt,4
kabul kills,4
myanmar border,4
3 killed,4
ltte cadres,4
begins nepal,4
us base,4
bangladesh high,4
rajapaksa says,4
crisis deepens,4
five dead,4
zia son,4
president rajapaksa,4
8 000,4
china nepal,4
near kabul,4
12 dead,4
21 killed,4
hong kong,4
ex king,4
quake hits,4
mullah omar,4
people war,4
mahinda rajapaksa,4
rohingya refugees,4
last ltte,4
fresh tremors,4
kills 5,4
troops afghanistan,4
eastern afghanistan,4
south asian,4
pm post,4
defence minister,4
zillur rahman,4
hindu priest,4
nepal arrests,4
mild tremors,4
india pak,4
toll crosses,4
terror attack,4
indo nepal,4
official says,4
nepal former,4
nepal cabinet,4
bdr men,4
japan pm,4
ties india,4
nepal king,4
new maldives,4
nepal polls,4
new government,4
peace talks,4
nepal envoy,4
war nepal,4
taliban strike,3
ltte leaders,3
key taliban,3
helicopter crashes,3
everest avalanche,3
would eeply,3
president bangladesh,3
jail term,3
kills 4,3
army recovers,3
held bangladesh,3
toll nepal,3
bangladesh building,3
next week,3
nepal crisis,3
claims responsibility,3
india provide,3
barack obama,3
ltte areas,3
quake survivors,3
bangladesh general,3
killed lankan,3
sobhraj fiancee,3
india urges,3
president calls,3
high court,3
take oath,3
kim jong,3
rajapaksa party,3
indian army,3
ltte says,3
lanka rejects,3
becomes nepal,3
end political,3
leader dies,3
ex pm,3
president pranab,3
lanka votes,3
killed suicide,3
us blogger,3
kabul guesthouse,3
bangladesh rifles,3
white house,3
displaced tamils,3
lanka tamil,3
killed army,3
cries foul,3
india lanka,3
felt nepal,3
mujib killers,3
taliban killed,3
siege kabul,3
scores missing,3
asks ltte,3
goes missing,3
muhammad yunus,3
wounded attack,3
constituent assembly,3
new year,3
sq km,3
xi jinping,3
kills 12,3
sobhraj wife,3
pm quit,3
hillary clinton,3
nepal sacks,3
kill 5,3
first time,3
nepal landslide,3
indian arms,3
mother law,3
nepal asks,3
upholds islamist,3
money laundering,3
killed sri,3
international airport,3
bird flu,3
kabul suicide,3
ltte child,3
civil war,3
surprise visit,3
special forces,3
trekking route,3
war criminals,3
bullet train,3
indians among,3
nepal poll,3
central bank,3
rights panel,3
city taliban,3
protests nepal,3
blogger murder,3
court martial,3
police custody,3
3 dead,3
ceasefire lanka,3
arrested nepal,3
fuel shortage,3
pro ltte,3
defence secretary,3
militant attack,3
fails get,3
2 dead,3
maldives police,3
wife mother,3
000 tamil,3
supreme court,3
visit nepal,3
years ago,3
3 days,3
18 killed,3
manmohan singh,3
hindi war,3
fight taliban,3
pm sushil,3
explosion rocks,3
years jail,3
bad weather,3
nepal last,3
philippines duterte,3
hits bangladesh,3
says taliban,3
sentenced death,3
thai junta,3
nepal border,3
bangladesh violence,3
nepal floods,3
afghanistan suicide,3
capital kabul,3
woman chief,3
24 killed,3
sarath fonseka,3
catches fire,3
campaign nepal,3
helicopter crash,3
ltte men,3
nepal church,3
mass grave,3
indonesian president,3
afghanistan pakistan,3
10 killed,3
war criminal,3
taliban siege,3
