1_grams,Frequency
india,12132
cup,7541
world,6928
football,5263
win,4949
ipl,4394
says,4305
indian,4109
open,3947
test,3891
team,3701
league,3295
new,2900
final,2707
bcci,2628
england,2603
mumbai,2531
cricket,2474
players,2382
title,2324
australia,2260
vs,2180
dhoni,2161
top,2079
lead,2072
coach,2026
series,2026
play,1995
beat,1991
back,1947
first,1943
pakistan,1901
nba,1899
trophy,1872
wins,1855
tendulkar,1837
1,1825
sachin,1774
delhi,1767
icc,1754
odi,1732
match,1687
day,1687
us,1659
take,1602
tour,1593
set,1586
fifa,1579
south,1559
pcb,1391
t20,1375
champions,1350
championship,1319
one,1299
2,1259
women,1255
hockey,1243
second,1237
get,1226
lanka,1204
time,1184
west,1181
asian,1173
make,1167
may,1166
round,1147
rio,1145
africa,1142
city,1138
face,1113
game,1104
pak,1104
singh,1103
golf,1098
games,1097
ranji,1096
gold,1089
united,1084
man,1083
best,1080
indians,1075
3,1072
ganguly,1063
tennis,1044
draw,1040
year,1035
sania,1018
big,1005
record,993
ready,979
sports,979
semis,977
kohli,977
start,976
return,975
national,970
two,967
saina,942
super,938
zealand,938
dravid,938
chennai,936
kings,920
look,919
wants,918
sri,915
0,911
home,907
gets,899
last,869
sehwag,867
u,863
fc,863
meet,848
2016,846
go,843
takes,842
olympics,839
bengal,834
2018,834
hopes,831
2014,831
good,815
five,813
run,811
spot,792
runs,790
punjab,788
challenge,788
ahead,780
table,779
third,779
tied,775
badminton,771
finals,763
2nd,760
indies,759
victory,758
australian,740
chelsea,740
olympic,739
2015,738
still,736
modi,735
v,733
real,721
pune,719
junior,718
season,717
double,715
rajasthan,714
yuvraj,711
4,710
would,708
jeev,707
show,704
xi,703
masters,702
5,696
clash,688
squad,685
liverpool,678
four,675
chess,674
injury,672
kolkata,671
virat,667
end,666
makes,665
need,663
captain,663
reach,660
three,657
star,650
bangladesh,648
asia,647
quarters,643
leads,637
wickets,628
isl,620
gambhir,617
chief,616
winning,612
nagpur,608
boxing,606
madrid,605
bat,605
euro,605
ton,602
brazil,601
mourinho,601
could,599
former,599
10,598
arsenal,595
hold,591
anand,589
ban,589
teams,589
east,588
1st,588
lose,582
bangalore,577
hit,574
report,573
harbhajan,570
defeat,568
warriors,567
messi,566
next,562
federer,562
enter,561
stars,561
bagan,556
miss,551
player,544
paes,544
3rd,544
eyes,543
international,543
fans,541
race,534
keep,533
battle,530
high,529
eye,528
another,528
club,528
opener,528
men,526
tie,526
fixing,524
de,522
ronaldo,519
gives,518
djokovic,515
royals,514
davis,514
away,511
rankings,511
cut,510
ponting,510
barcelona,509
past,509
host,506
ends,505
daredevils,504
manchester,499
hits,499
want,497
goal,495
way,494
points,490
fight,490
grand,489
cricketers,489
spurs,488
tests,488
matches,484
event,484
help,483
nadal,481
germany,479
better,478
premier,477
like,477
sindhu,475
championships,474
aiff,472
form,472
china,471
warne,470
hope,468
tough,465
argentina,463
french,462
tournament,458
loss,454
batting,452
move,450
stay,450
france,449
dream,447
happy,447
playing,443
despite,441
confident,441
sa,440
state,440
helps,434
bowlers,433
years,431
16,430
murray,429
goa,429
kumble,428
pitch,428
ball,428
decision,427
hyderabad,425
riders,425
give,425
aussies,424
court,424
bayern,424
live,423
deal,423
security,422
kkr,422
bid,421
