2_grams,Frequency
north korea,872
donald trump,674
white house,465
islamic state,320
al qaida,282
south korea,278
new york,274
barack obama,234
n deal,200
south china,198
n korea,197
nawaz sharif,197
hillary clinton,195
china sea,193
saudi arabia,188
hong kong,181
year old,172
sri lanka,158
indo us,157
death toll,153
nuclear deal,151
dalai lama,144
says us,132
xi jinping,130
india us,129
bin laden,128
imran khan,124
pak army,124
army chief,123
india china,121
nuke deal,119
india pak,119
kim jong,118
pak govt,114
north korean,109
pak pm,107
hafiz saeed,105
us president,105
us senate,103
human rights,100
jong un,99
indo pak,98
un chief,97
boko haram,96
us military,96
air strikes,94
shot dead,94
al qaeda,92
new zealand,90
trump says,90
us says,89
us drone,88
militants killed,86
us house,86
osama bin,85
prime minister,85
suicide attack,84
indian american,83
security council,82
supreme court,80
south africa,78
suu kyi,77
john kerry,77
peace talks,76
pak sc,75
us china,75
china says,75
indian origin,75
pak court,74
terror attacks,74
pakistan army,74
pak taliban,73
h 1b,72
killed us,72
south korean,71
foreign minister,71
suicide bomber,71
plane crash,70
obama says,70
us lawmakers,69
air force,69
india pakistan,69
terror attack,67
iran nuclear,67
korea says,66
pm modi,66
vladimir putin,64
anti terror,64
bird flu,64
us india,63
toll rises,63
ties india,63
un security,63
paris attacks,63
aid pakistan,62
kashmir issue,62
b would,62
coal mine,61
theresa may,60
pakistan pm,60
yr old,59
us official,59
bomb blast,59
car bomb,58
j k,58
middle east,57
us congress,56
us pak,56
isi chief,56
uk pm,55
killed pakistan,55
us warns,54
prince harry,54
soldiers killed,54
26 11,54
travel ban,53
visit india,53
indian students,53
us envoy,53
first time,52
prince william,52
pml n,51
nuclear weapons,51
top us,50
drone strike,50
iraq war,50
suicide bombers,50
us asks,50
michelle obama,50
us aid,49
korea kim,48
british pm,48
social media,48
nuclear test,48
f 16s,47
us man,47
would esh,47
attack pakistan,47
lal masjid,47
us senator,46
bomb attack,46
michael jackson,46
us may,46
q khan,46
hold talks,45
war terror,45
us officials,45
us court,45
us ties,45
aid pak,45
charlie hebdo,45
us uk,44
nepal maoists,44
quake hits,44
terror plot,44
manmohan singh,44
pervez musharraf,44
says china,43
pope francis,43
chinese media,43
us lawmaker,43
mumbai attacks,42
trump administration,42
us report,42
secretary state,42
attack us,42
pakistan court,42
us nuclear,42
killed pak,42
earthquake hits,42
1 000,42
world bank,41
terror groups,41
security forces,41
us nuke,41
pakistan us,41
says pak,40
obama calls,40
killed sri,40
australian pm,40
troops iraq,40
missile test,40
china india,40
china launches,40
us wants,40
northwest pakistan,40
pak military,40
pleads guilty,40
found dead,39
new us,39
af pak,39
trump kim,39
test fires,39
sri lankan,39
top court,39
foreign policy,39
kills least,39
david cameron,39
china xi,39
police arrest,39
next week,38
us air,38
gay marriage,38
united states,38
south sudan,37
pak us,37
new year,37
us state,37
attack pak,37
communist party,37
air strike,37
plane crashes,37
us troops,37
people killed,37
world leaders,37
pak n,36
bomb kills,36
killed suicide,36
us embassy,36
us russia,36
deal us,36
mumbai attack,35
us n,35
indian americans,35
us army,35
us defence,35
taliban militants,35
pak minister,35
us tells,35
f 16,35
terror threat,34
us navy,34
blast kills,34
nepal king,34
death penalty,34
cold war,34
drone strikes,34
national security,34
court orders,34
saudi king,33
china warns,33
pak envoy,33
nuclear talks,33
man arrested,33
korea nuclear,33
one dead,33
us sanctions,33
world cup,33
nepal pm,33
nobel peace,33
fight terror,33
five killed,33
magnitude quake,33
warns us,33
bill clinton,33
ballistic missile,32
10 killed,32
iran n,32
ki moon,32
us presidential,32
feared dead,32
peace prize,32
cia chief,32
ex pm,32
terror suspects,32
japan pm,32
chemical weapons,32
ban ki,32
tony blair,32
strike kills,32
un envoy,32
state department,32
10 000,32
pak may,32
bhutto killing,31
korea us,31
9 11,31
first lady,31
magnitude earthquake,31
china us,31
gunmen kill,31
crown prince,30
bomb threat,30
pakistan says,30
us south,30
russia probe,30
pak nukes,30
says north,30
pak police,30
three killed,30
12 killed,30
panama papers,30
two killed,30
bomber kills,30
climate change,30
death sentence,30
sentenced death,30
2 killed,29
indian student,29
angela merkel,29
pak nuke,29
attorney general,29
talks india,29
four killed,29
10 years,29
harry potter,29
west bank,29
pm says,29
saudi prince,29
las vegas,29
swine flu,29
killed china,29
rex tillerson,29
asks pakistan,28
war crimes,28
visit china,28
kill least,28
former us,28
visit us,28
military aid,28
presidential election,28
fighter jets,28
suicide bombing,28
first woman,28
korea fires,28
drone attack,28
secret service,28
state media,28
us visit,28
aircraft carrier,28
may get,28
suicide blast,28
sanctions north,28
killed clashes,28
defence minister,28
us secretary,27
pak tribal,27
killed blast,27
uk govt,27
chinese president,27
us seeks,27
pak ties,27
rebels killed,27
vice president,27
police officer,27
gas pipeline,27
next year,27
us plans,27
court rejects,27
peace process,27
bobby jindal,27
cross border,27
indian envoy,27
pakistani taliban,27
one killed,27
new sanctions,27
us general,27
us election,26
murder case,26
us diplomat,26
pak talks,26
sexual assault,26
first ever,26
china pakistan,26
5 million,26
european union,26
us pakistan,26
killed lanka,26
100 000,26
graft case,26
trump putin,26
us govt,26
taliban chief,26
us judge,26
pak terror,26
pak troops,25
pak nuclear,25
uk terror,25
strong earthquake,25
may face,25
mullah omar,25
mahatma gandhi,25
china bans,25
nikki haley,25
envoy india,25
raza gilani,25
kim summit,25
15 killed,25
putin says,25
video shows,25
kulbhushan jadhav,25
threat us,25
pak media,25
fidel castro,25
14 killed,25
state emergency,25
taliban leader,25
safe havens,25
missile defence,25
us supreme,25
tells us,24
prince charles,24
state group,24
obama administration,24
us ready,24
korean leader,24
civil war,24
spy agency,24
pm gilani,24
trump calls,24
20 years,24
big brother,24
ex president,24
nepal govt,24
french president,24
julian assange,24
pak president,24
president obama,24
us led,24
china plans,24
u turn,24
war iraq,24
times square,24
york city,24
house arrest,24
return home,24
un says,24
magnitude 6,24
emmanuel macron,24
2 dead,24
police officers,24
h1 b,23
president barack,23
california wildfire,23
war words,23
uk police,23
united nations,23
asks us,23
drone attacks,23
school shooting,23
think tank,23
president xi,23
china build,23
benazir bhutto,23
korea leader,23
attacks pak,23
obama warns,23
ted cruz,23
2 000,23
injured blast,23
pak says,23
jail term,23
us would,23
1b visa,23
forces kill,23
military action,23
ltte rebels,23
burkina faso,23
narendra modi,23
years jail,23
us missile,23
jihadi john,23
quake strikes,23
arrest warrant,23
malaysia airlines,22
china visit,22
south asia,22
asks india,22
us calls,22
launches new,22
visa rules,22
gunmen attack,22
case pak,22
pak cj,22
world largest,22
pakistan police,22
killed attack,22
presidential race,22
old girl,22
swat valley,22
us condemns,22
us ambassador,22
nobel prize,22
go ahead,22
strikes kill,22
defence secretary,22
us intelligence,22
paris attack,22
phone hacking,22
passes away,22
strikes syria,22
shinzo abe,22
anti graft,22
4 killed,21
would ay,21
un official,21
pak report,21
us help,21
pakistan govt,21
gets first,21
west africa,21
5 000,21
haqqani network,21
iran us,21
us slaps,21
pm theresa,21
power plant,21
2 years,21
g20 summit,21
migrant crisis,21
obama visit,21
china gets,21
refugee crisis,21
says donald,21
us forces,21
claims responsibility,21
militants attack,21
goes viral,21
military base,21
haneef case,21
pakistan nuclear,21
los angeles,21
un rights,21
four dead,21
world war,21
south african,21
leader kim,21
free trade,21
india visit,20
terrorist attack,20
taliban attack,20
bomb plot,20
mine blast,20
makes emergency,20
president says,20
helicopter crash,20
official says,20
nuclear power,20
us top,20
10 dead,20
china russia,20
william kate,20
says sorry,20
blast pakistan,20
pak border,20
iran deal,20
us government,20
opposition leader,20
israeli pm,20
building collapse,20
n korean,20
us japan,20
mumbai terror,20
five dead,20
says pakistan,20
china pak,20
red carpet,20
us media,20
1 billion,20
china launch,20
uk court,20
defence budget,20
pakistan sc,20
airasia flight,20
us north,20
korea missile,20
attack kills,20
chinese man,20
13 killed,20
high court,20
terror us,20
view london,20
obama tells,20
china set,20
deal india,20
us welcomes,20
us woman,20
police chief,20
ruling party,20
pak india,20
yousuf raza,20
lanka clashes,20
tells india,19
indian fishermen,19
sanctions iran,19
sartaj aziz,19
president donald,19
attacks us,19
high commissioner,19
7 killed,19
china wants,19
china mine,19
iraqi forces,19
pakistan taliban,19
peace deal,19
us cuba,19
tribal belt,19
kills 3,19
strauss kahn,19
n plant,19
iran says,19
search missing,19
twin blasts,19
indian docs,19
emergency landing,19
pakistan blast,19
illegal immigrants,19
pm manmohan,19
us iran,19
1 dead,19
says obama,19
china coal,19
obama vows,19
hate crime,19
sex abuse,19
says musharraf,19
bodies found,19
attack police,19
chinese military,19
saarc summit,19
says un,19
scotland yard,19
slaps sanctions,19
anti us,19
north waziristan,19
qaida leader,19
killed two,19
per cent,19
thousands flee,19
china new,19
1 killed,19
un sanctions,19
fire kills,19
pak china,18
state union,18
green card,18
us prez,18
next month,18
al jazeera,18
terror suspect,18
asia pacific,18
fake news,18
nuclear capable,18
nuclear programme,18
sex scandal,18
life term,18
chief says,18
pakistan report,18
chinese premier,18
says would,18
indian workers,18
us issues,18
olympic torch,18
papua new,18
us visa,18
bhutto murder,18
bilateral ties,18
officials say,18
syrian rebels,18
trade war,18
us mulls,18
gets life,18
terror list,18
kills four,18
aq khan,18
need know,18
militants kill,18
china kills,18
china japan,18
bus crash,18
may help,18
us gives,18
two dead,18
nobel laureate,18
knife attack,18
foreign secretary,18
20 killed,18
eu leaders,18
pak denies,18
nuclear plant,18
china first,18
wants india,18
india may,18
queen elizabeth,18
us spy,18
pak seeks,18
goes missing,18
russian plane,18
malaysian pm,18
melania trump,18
china xinjiang,18
running mate,18
pro taliban,18
war us,18
afghanistan us,18
six killed,18
us urges,18
uk may,18
nine killed,18
50 000,18
man charged,18
joe biden,18
india ties,18
kills 5,18
india help,18
new guinea,18
rehman malik,18
us senators,18
heavy rains,17
dead china,17
zika virus,17
india born,17
obama names,17
stephen hawking,17
support india,17
presidential polls,17
becomes first,17
20 000,17
pakistan isi,17
state tv,17
pm calls,17
mitt romney,17
china may,17
8 killed,17
tribal areas,17
mike pompeo,17
blast near,17
air base,17
1 million,17
police say,17
us strike,17
bhutto assassination,17
top pak,17
killed bomb,17
trump warns,17
g 20,17
found guilty,17
syria chemical,17
tv show,17
un report,17
asif ali,17
uk minister,17
sheikh hasina,17
kills 2,17
afghan border,17
taliban claim,17
us hopes,17
syria assad,17
1b visas,17
sparks row,17
pak afghan,17
around world,17
ali zardari,17
military ties,17
strong quake,17
talks us,17
new pm,17
pakistan may,17
killed iraq,17
brussels attacks,17
attacks pakistan,17
asks pak,17
chief justice,17
saudi led,17
hold first,17
anti terrorism,17
us announces,17
us school,17
high alert,17
economic corridor,17
child abuse,17
trump travel,17
c wealth,17
obama meet,17
court upholds,16
hu jintao,16
five years,16
fighter jet,16
pm nawaz,16
taliban commander,16
groups us,16
russia us,16
graft cases,16
us diplomats,16
sparks outrage,16
indians among,16
air india,16
lifts ban,16
first us,16
million people,16
tells pak,16
terror camps,16
3 killed,16
tel aviv,16
man gets,16
us offers,16
offers help,16
000 people,16
full text,16
18 killed,16
deputy pm,16
us plane,16
man held,16
arms race,16
indians killed,16
road accident,16
6 killed,16
china begins,16
commits suicide,16
far right,16
un vote,16
pakistan military,16
korea warns,16
us soldier,16
pakistan new,16
japanese pm,16
haneef visa,16
5 killed,16
cyber attack,16
pak parliament,16
abu ghraib,16
presidential vote,16
us puts,16
gets new,16
uncle sam,16
masood azhar,16
new un,16
porn star,16
20 dead,16
independence day,16
old boy,16
leader says,16
san francisco,16
new pak,16
ivanka trump,16
man kills,16
china puts,16
urges us,16
troops afghanistan,16
crash kills,16
state militants,16
pak ready,16
troops kill,16
quake hit,16
11 killed,16
high level,16
world oldest,16
police kill,16
holds talks,16
toll hits,16
china building,16
kills 13,16
kills two,16
pak peace,15
hostage crisis,15
earthquake strikes,15
slams us,15
year end,15
east ukraine,15
india says,15
us teen,15
musharraf may,15
india unsc,15
talks taliban,15
sarah palin,15
eye china,15
us intel,15
50 years,15
sushma swaraj,15
years prison,15
ties china,15
us defense,15
george bush,15
super tuesday,15
york times,15
pak oppn,15
us deal,15
pm abe,15
says india,15
military plane,15
dies age,15
us security,15
nuke programme,15
bo xilai,15
pakistan arrests,15
nuclear arsenal,15
us must,15
toll climbs,15
terrorists us,15
bilawal bhutto,15
blast outside,15
house says,15
korea japan,15
new president,15
2 billion,15
ties us,15
edward snowden,15
saudi crown,15
jamaat ud,15
30 years,15
flight qz8501,15
among top,15
interior minister,15
eight killed,15
pak air,15
strikes pakistan,15
east china,15
mine accident,15
modi xi,15
president trump,15
central african,15
pm visit,15
hit list,15
defense secretary,15
syrian refugees,15
us set,15
president elect,15
row uk,15
24 hours,15
n weapons,15
world first,15
4 years,15
ready talks,15
charged murder,15
thai cave,15
ex isi,15
da vinci,15
us secret,15
seven killed,15
high speed,15
china hold,15
us hold,15
kills 10,15
3 000,15
says wo,15
israel palestine,15
missile tests,15
attack suspect,15
race row,15
chinese official,15
lakshmi mittal,15
carla bruni,15
minister says,15
silk road,15
3 years,15
visit pak,15
25 years,15
us talks,15
uk visa,15
soldier killed,15
would eeply,14
australian police,14
join hands,14
us cities,14
fire china,14
china tells,14
g 8,14
us poll,14
pak man,14
train derails,14
returns home,14
wants us,14
top 10,14
pak forces,14
kanishka probe,14
indian ocean,14
obama meets,14
pm may,14
pakistan minister,14
security personnel,14
10 people,14
two indian,14
injured bomb,14
china opens,14
son law,14
unsc seat,14
us commander,14
boston marathon,14
million aid,14
british parliament,14
10 year,14
n programme,14
anti muslim,14
gordon brown,14
china military,14
presidential debate,14
talks iran,14
5 billion,14
china urges,14
volcano erupts,14
secretary general,14
osama son,14
booker prize,14
pak anti,14
us takes,14
rights group,14
syrian army,14
trade talks,14
may hit,14
pak security,14
civilians killed,14
royal family,14
mona lisa,14
plot kill,14
israel strikes,14
nuclear tests,14
south carolina,14
militant groups,14
1 5,14
paris terror,14
world heart,14
china president,14
3 million,14
ground zero,14
help us,14
jim mattis,14
pakistan government,14
hits japan,14
khaleda zia,14
15 years,14
russia says,14
british queen,14
korea summit,14
death row,14
second term,14
black man,14
us trade,14
